Name Subject MaxClass MinClass
Mohamed Mathematics 10 8
Marc English 12 7
Adam History 14 6
Zara Computing 9 8
Sofia Psychology 11 9
James Computing 9 5
Ellen Medicine 13 6
Hannah Accountancy 8 8
Oliver Mathematics 15 9
Jacob Engineering 12 7
Jack Art 11 6
James Chemistry 14 9
Emma Psychology 14 8
Anna Art 13 8
Olivia Medicine 14 9
Jess Computing 10 10
Wesley Computing 11 6
Daniel Engineering 8 7
Sara Biology 15 6
John Dentistry 11 8
Rosy French 12 5
Caroline English 11 4
Elsie Spansih 14 3
Clarissa Englisg 10 5
Dean Engineering 12 6
Mila Biology 12 9
Rolf Geography 11 7
Frances Medicine 11 8
Delinda Psychology 9 4
Kay Maths 14 8
Maile Chemistry 10 9
Saundra Sociology 9 6
Steve Religion 10 5
Felice Geography 12 8
Divina Philosphy 7 4
Jalisa Economics 10 8
Sharyn Art 11 5
Adeline Physics 10 4
Norberto English 11 9
Vilma German 10 2
Rozanne Spanish 10 5
Ora History 8 4
Yanira Buisness 9 7
Lavonda History 10 5
Ryann Sociology 9 4
Gisela Accountancy 11 5
Shantae Art 8 6
Li Art 9 5
Fidel Maths 11 2
Maragaret Computing 7 4
Percy Engineering 8 6
Leana Medicine 8 6
Verna Physics 8 5
Marietta Religion 11 4
Kenyatta Law 8 4
Tera Accountancy 11 3
Lillian Law 9 4
Ronda Economics 
Precious Art 7 4
Hayley Physics 8 5
Arline English 8 5
Phyliss Psychology 7 4
Jacalyn Chemistry 7 4
Zenaida Geography 9 5
Shondra Drama 7 3
Larita Latin 8 5  
Marth Sports 6 3 
Alec Drama 6 3
Gertha Buisness 8 4  
Jarrett  Computing 11 2

